iter	Passed	Remaining
0	149	149128
1	151	75765
2	153	51058
3	155	38623
4	156	31199
5	158	26231
6	159	22670
7	161	20013
8	163	17958
9	165	16337
10	166	14993
11	167	13795
12	169	12844
13	170	12026
14	172	11302
15	173	10667
16	174	10100
17	176	9604
18	177	9155
19	178	8747
20	179	8379
21	180	8043
22	182	7735
23	183	7456
24	184	7199
25	185	6965
26	187	6745
27	188	6538
28	189	6348
29	190	6174
30	192	6010
31	193	5856
32	194	5711
33	196	5575
34	197	5447
35	198	5323
36	200	5208
37	201	5097
38	202	4992
39	203	4891
40	205	4796
41	205	4694
42	207	4609
43	208	4527
44	209	4452
45	211	4379
46	212	4307
47	213	4237
48	214	4169
49	216	4107
50	217	4046
51	218	3987
52	220	3932
53	221	3878
54	222	3826
55	224	3779
56	225	3728
57	226	3680
58	227	3634
59	229	3587
60	230	3544
61	231	3504
62	232	3462
63	234	3422
64	235	3383
65	236	3347
66	237	3310
67	239	3276
68	240	3240
69	241	3207
70	242	3175
71	243	3144
72	245	3115
73	246	3088
74	248	3061
75	249	3034
76	250	3008
77	252	2981
78	253	2955
79	254	2928
80	255	2903
81	257	2881
82	258	2856
83	259	2833
84	261	2811
85	262	2789
86	263	2768
87	265	2746
88	266	2724
89	267	2705
90	268	2683
91	270	2664
92	271	2645
93	272	2626
94	273	2608
95	275	2592
96	276	2575
97	278	2558
98	279	2541
99	280	2524
100	281	2509
101	283	2494
102	284	2479
103	285	2463
104	287	2449
105	288	2435
106	290	2421
107	291	2407
108	292	2394
109	294	2383
110	296	2370
111	297	2359
112	299	2347
113	300	2337
114	302	2325
115	303	2316
116	305	2307
117	307	2296
118	308	2286
119	310	2275
120	311	2266
121	313	2255
122	314	2244
123	316	2233
124	317	2224
125	319	2213
126	320	2203
127	321	2193
128	323	2182
129	324	2172
130	325	2162
131	327	2152
132	328	2142
133	329	2132
134	331	2122
135	332	2112
136	333	2102
137	335	2092
138	336	2083
139	337	2074
140	338	2064
141	340	2054
142	341	2045
143	342	2036
144	343	2028
145	345	2019
146	346	2010
147	347	2001
148	348	1992
149	350	1984
150	351	1976
151	352	1968
152	354	1959
153	355	1951
154	356	1944
155	358	1937
156	359	1929
157	360	1921
158	361	1914
159	363	1907
160	364	1900
161	366	1895
162	367	1888
163	369	1881
164	370	1876
165	372	1869
166	373	1862
167	374	1855
168	376	1849
169	377	1843
170	378	1836
171	380	1830
172	381	1824
173	382	1817
174	384	1810
175	385	1804
176	386	1797
177	387	1790
178	389	1784
179	390	1778
180	391	1772
181	393	1766
182	394	1760
183	395	1754
184	397	1749
185	398	1743
186	399	1736
187	400	1730
188	402	1725
189	403	1719
190	404	1711
191	405	1705
192	406	1699
193	407	1694
194	409	1688
195	410	1683
196	411	1678
197	412	1672
198	414	1667
199	415	1662
200	416	1657
201	418	1652
202	419	1646
203	420	1641
204	422	1636
205	423	1632
206	424	1627
207	426	1622
208	427	1617
209	428	1612
210	429	1607
211	431	1602
212	432	1598
213	433	1593
214	435	1588
215	436	1583
216	437	1579
217	439	1574
218	440	1570
219	441	1565
220	442	1561
221	444	1557
222	445	1552
223	446	1548
224	448	1543
225	449	1539
226	450	1535
227	451	1530
228	453	1525
229	454	1521
230	455	1517
231	457	1513
232	458	1508
233	459	1504
234	460	1500
235	462	1495
236	463	1491
237	464	1487
238	465	1482
239	466	1478
240	468	1474
241	469	1470
242	470	1467
243	472	1463
244	473	1458
245	474	1454
246	476	1451
247	477	1447
248	478	1443
249	479	1439
250	481	1435
251	482	1432
252	483	1428
253	485	1426
254	486	1422
255	488	1418
256	489	1416
257	491	1412
258	492	1409
259	493	1405
260	494	1401
261	496	1398
262	497	1394
263	498	1390
264	500	1386
265	501	1383
266	502	1379
267	503	1376
268	505	1372
269	506	1368
270	507	1364
271	508	1361
272	510	1358
273	511	1354
274	512	1351
275	513	1348
276	515	1344
277	516	1341
278	517	1338
279	519	1335
280	520	1331
281	521	1328
282	522	1324
283	524	1321
284	525	1318
285	526	1315
286	528	1312
287	529	1309
288	530	1306
289	532	1302
290	533	1299
291	534	1296
292	535	1292
293	537	1290
294	538	1286
295	539	1283
296	540	1280
297	542	1277
298	543	1274
299	544	1271
300	545	1267
301	547	1265
302	549	1263
303	550	1261
304	552	1258
305	553	1255
306	554	1252
307	556	1250
308	557	1247
309	559	1244
310	560	1241
311	561	1238
312	563	1237
313	565	1234
314	566	1231
315	567	1228
316	569	1226
317	570	1224
318	572	1221
319	573	1219
320	575	1216
321	576	1213
322	578	1211
323	579	1208
324	580	1205
325	582	1203
326	583	1200
327	584	1197
328	585	1195
329	587	1192
330	588	1190
331	590	1187
332	591	1184
333	592	1181
334	593	1179
335	595	1176
336	596	1173
337	598	1171
338	599	1168
339	600	1165
340	601	1163
341	603	1160
342	604	1158
343	605	1155
344	607	1152
345	608	1150
346	609	1147
347	611	1145
348	612	1143
349	614	1140
350	615	1138
351	617	1136
352	618	1133
353	619	1131
354	621	1129
355	622	1126
356	624	1124
357	625	1121
358	626	1118
359	627	1116
360	629	1114
361	631	1112
362	632	1109
363	633	1107
364	635	1105
365	636	1102
366	637	1100
367	639	1098
368	640	1095
369	642	1093
370	643	1091
371	644	1088
372	646	1086
373	647	1083
374	648	1081
375	650	1078
376	651	1076
377	652	1074
378	654	1071
379	655	1069
380	656	1067
381	658	1064
382	659	1062
383	660	1060
384	662	1058
385	663	1055
386	665	1053
387	666	1051
388	668	1049
389	669	1047
390	670	1045
391	672	1042
392	673	1040
393	675	1038
394	676	1036
395	678	1034
396	679	1031
397	680	1029
398	681	1027
399	683	1024
400	684	1022
401	685	1020
402	687	1017
403	688	1015
404	690	1014
405	691	1011
406	693	1009
407	694	1007
408	695	1004
409	696	1002
410	698	1000
411	699	998
412	700	996
413	702	994
414	703	991
415	705	989
416	706	988
417	708	986
418	710	984
419	711	982
420	712	980
421	714	978
422	715	976
423	717	974
424	718	971
425	719	969
426	721	967
427	722	965
428	724	963
429	725	961
430	726	958
431	727	956
432	729	955
433	730	953
434	732	950
435	733	948
436	734	946
437	736	945
438	738	943
439	739	941
440	740	939
441	742	937
442	743	935
443	745	933
444	746	930
445	747	928
446	749	927
447	750	925
448	752	923
449	753	921
450	755	919
451	757	917
452	758	915
453	759	913
454	761	911
455	762	909
456	763	907
457	765	905
458	766	903
459	767	901
460	769	899
461	770	897
462	771	895
463	773	893
464	774	891
465	775	889
466	777	886
467	778	884
468	779	882
469	781	880
470	782	879
471	784	877
472	785	875
473	786	872
474	788	871
475	789	869
476	790	866
477	791	864
478	793	862
479	794	860
480	796	859
481	797	856
482	798	855
483	800	852
484	801	851
485	803	849
486	804	847
487	805	845
488	807	843
489	808	841
490	809	839
491	811	837
492	812	835
493	813	833
494	815	831
495	816	829
496	818	827
497	819	825
498	820	823
499	821	821
500	823	819
501	824	818
502	825	815
503	827	813
504	828	811
505	829	810
506	831	808
507	832	806
508	833	804
509	834	802
510	836	800
511	837	798
512	838	796
513	840	794
514	841	792
515	842	790
516	843	788
517	845	786
518	846	784
519	847	782
520	848	780
521	850	778
522	851	776
523	852	774
524	854	772
525	855	771
526	857	769
527	858	767
528	859	765
529	861	763
530	862	762
531	864	760
532	865	758
533	867	756
534	868	754
535	870	753
536	871	751
537	872	749
538	874	747
539	875	746
540	877	744
541	878	742
542	879	740
543	881	738
544	882	736
545	883	734
546	885	733
547	886	731
548	887	729
549	889	727
550	890	725
551	891	723
552	892	721
553	894	720
554	895	718
555	896	716
556	898	714
557	899	712
558	900	710
559	902	708
560	903	706
561	904	705
562	905	703
563	907	701
564	908	699
565	909	697
566	910	695
567	911	693
568	913	691
569	914	690
570	916	688
571	917	686
572	918	684
573	919	682
574	921	680
575	922	679
576	924	677
577	925	675
578	926	673
579	928	672
580	929	670
581	930	668
582	932	666
583	933	664
584	934	663
585	936	661
586	937	659
587	938	657
588	939	655
589	941	654
590	942	652
591	943	650
592	945	648
593	946	647
594	948	645
595	949	643
596	951	641
597	952	640
598	953	638
599	954	636
600	956	634
601	957	633
602	959	631
603	960	629
604	962	628
605	963	626
606	964	624
607	966	622
608	967	621
609	968	619
610	969	617
611	971	615
612	972	614
613	974	612
614	975	610
615	976	609
616	978	607
617	979	605
618	980	603
619	982	602
620	983	600
621	984	598
622	986	596
623	987	594
624	988	593
625	990	591
626	991	589
627	992	588
628	994	586
629	996	585
630	997	583
631	998	581
632	1000	579
633	1001	578
634	1002	576
635	1004	574
636	1005	572
637	1006	571
638	1008	569
639	1009	567
640	1010	566
641	1011	564
642	1013	562
643	1014	560
644	1016	559
645	1017	557
646	1019	556
647	1020	554
648	1022	552
649	1023	551
650	1024	549
651	1025	547
652	1027	545
653	1028	544
654	1029	542
655	1030	540
656	1032	538
657	1033	537
658	1034	535
659	1036	533
660	1037	531
661	1038	530
662	1039	528
663	1040	526
664	1041	524
665	1043	523
666	1044	521
667	1045	519
668	1046	517
669	1048	516
670	1049	514
671	1051	513
672	1052	511
673	1053	509
674	1055	508
675	1056	506
676	1057	504
677	1058	502
678	1060	501
679	1061	499
680	1062	497
681	1063	496
682	1064	494
683	1066	492
684	1067	490
685	1068	489
686	1070	487
687	1071	485
688	1072	484
689	1073	482
690	1074	480
691	1076	478
692	1077	477
693	1078	475
694	1079	473
695	1081	472
696	1082	470
697	1083	468
698	1084	467
699	1086	465
700	1087	463
701	1088	462
702	1090	460
703	1091	458
704	1092	457
705	1093	455
706	1095	453
707	1096	452
708	1097	450
709	1098	448
710	1100	447
711	1101	445
712	1102	443
713	1103	442
714	1105	440
715	1106	438
716	1107	437
717	1109	435
718	1110	433
719	1111	432
720	1112	430
721	1114	428
722	1115	427
723	1116	425
724	1117	423
725	1118	422
726	1120	420
727	1121	419
728	1122	417
729	1123	415
730	1124	413
731	1125	412
732	1127	410
733	1128	409
734	1130	407
735	1131	405
736	1132	404
737	1133	402
738	1135	400
739	1136	399
740	1137	397
741	1138	395
742	1139	394
743	1141	392
744	1142	391
745	1143	389
746	1144	387
747	1145	386
748	1146	384
749	1148	382
750	1149	381
751	1150	379
752	1151	377
753	1152	376
754	1154	374
755	1155	372
756	1156	371
757	1157	369
758	1159	368
759	1160	366
760	1161	364
761	1162	363
762	1164	361
763	1165	360
764	1166	358
765	1168	356
766	1169	355
767	1171	353
768	1172	352
769	1173	350
770	1174	348
771	1175	347
772	1177	345
773	1178	344
774	1179	342
775	1181	340
776	1182	339
777	1183	337
778	1184	336
779	1185	334
780	1187	332
781	1188	331
782	1189	329
783	1190	328
784	1191	326
785	1192	324
786	1194	323
787	1195	321
788	1196	320
789	1197	318
790	1199	316
791	1200	315
792	1201	313
793	1202	312
794	1204	310
795	1205	308
796	1206	307
797	1207	305
798	1208	304
799	1210	302
800	1211	300
801	1212	299
802	1214	297
803	1215	296
804	1216	294
805	1217	293
806	1219	291
807	1220	290
808	1222	288
809	1223	286
810	1224	285
811	1225	283
812	1227	282
813	1228	280
814	1229	279
815	1230	277
816	1231	275
817	1233	274
818	1234	272
819	1235	271
820	1236	269
821	1238	268
822	1239	266
823	1240	265
824	1242	263
825	1243	261
826	1244	260
827	1245	258
828	1247	257
829	1248	255
830	1249	254
831	1250	252
832	1252	251
833	1253	249
834	1254	247
835	1256	246
836	1257	244
837	1258	243
838	1259	241
839	1261	240
840	1262	238
841	1263	237
842	1264	235
843	1266	234
844	1267	232
845	1268	230
846	1269	229
847	1271	227
848	1272	226
849	1273	224
850	1275	223
851	1276	221
852	1277	220
853	1278	218
854	1279	217
855	1281	215
856	1282	214
857	1284	212
858	1285	211
859	1287	209
860	1288	208
861	1290	206
862	1291	205
863	1292	203
864	1293	201
865	1295	200
866	1296	198
867	1297	197
868	1298	195
869	1299	194
870	1301	192
871	1302	191
872	1303	189
873	1304	188
874	1305	186
875	1306	184
876	1308	183
877	1309	181
878	1310	180
879	1311	178
880	1313	177
881	1314	175
882	1315	174
883	1317	172
884	1318	171
885	1319	169
886	1321	168
887	1322	166
888	1323	165
889	1324	163
890	1326	162
891	1327	160
892	1328	159
893	1329	157
894	1331	156
895	1332	154
896	1333	153
897	1334	151
898	1336	150
899	1337	148
900	1338	147
901	1339	145
902	1340	144
903	1342	142
904	1343	141
905	1344	139
906	1345	137
907	1346	136
908	1348	134
909	1349	133
910	1350	131
911	1351	130
912	1352	128
913	1354	127
914	1355	125
915	1356	124
916	1357	122
917	1359	121
918	1360	119
919	1361	118
920	1362	116
921	1363	115
922	1364	113
923	1366	112
924	1367	110
925	1368	109
926	1369	107
927	1370	106
928	1372	104
929	1373	103
930	1374	101
931	1375	100
932	1377	98
933	1378	97
934	1379	95
935	1380	94
936	1382	92
937	1383	91
938	1384	89
939	1385	88
940	1386	86
941	1388	85
942	1389	83
943	1390	82
944	1391	81
945	1393	79
946	1394	78
947	1395	76
948	1396	75
949	1397	73
950	1398	72
951	1400	70
952	1401	69
953	1402	67
954	1403	66
955	1404	64
956	1406	63
957	1407	61
958	1408	60
959	1409	58
960	1411	57
961	1412	55
962	1413	54
963	1414	52
964	1416	51
965	1417	49
966	1418	48
967	1420	46
968	1421	45
969	1422	43
970	1423	42
971	1425	41
972	1426	39
973	1427	38
974	1429	36
975	1430	35
976	1431	33
977	1432	32
978	1434	30
979	1435	29
980	1436	27
981	1437	26
982	1439	24
983	1440	23
984	1441	21
985	1442	20
986	1443	19
987	1444	17
988	1446	16
989	1447	14
990	1448	13
991	1450	11
992	1451	10
993	1452	8
994	1453	7
995	1454	5
996	1455	4
997	1457	2
998	1458	1
999	1459	0
